,0,1,2,3,4,5,6,7,8,n_nodes
scaled_tetra,-28.505563735961914,-22.97624969482422,-27.70874786376953,31.806861877441406,-22.26128387451172,-5.720252990722656,-30.767658233642578,33.27375793457031,40.187843322753906,4
tetra-like,-1.0932655334472656,5.147338390350342,-7.863037109375,22.308732986450195,-5.87014627456665,56.599815368652344,-5.473548889160156,22.73746109008789,36.44285202026367,12
rotated_tetra,-29.347503662109375,-24.02456283569336,-29.795108795166016,32.486167907714844,-23.309364318847656,-8.500398635864258,-32.65985870361328,34.86800003051758,41.5551872253418,4
cube-like_2,31.72030258178711,39.58454513549805,1.682908296585083,6.079246997833252,12.022765159606934,48.55883026123047,26.22051239013672,11.169168472290039,26.603832244873047,16
oct-like,-17.56963348388672,-11.762557983398438,-11.705462455749512,27.78199005126953,-13.881155014038086,36.99763870239258,-18.115577697753906,29.787490844726562,42.45732879638672,8
tetra,-29.347503662109375,-24.02456283569336,-29.795108795166016,32.486167907714844,-23.309364318847656,-8.500398635864258,-32.65985870361328,34.86800003051758,41.5551872253418,4
dod-like,-2.5521392822265625,9.2369384765625,-13.012011528015137,19.01519012451172,-3.9704041481018066,40.999542236328125,-3.893855571746826,24.87057876586914,38.634769439697266,12
cube-like_1,-12.492029190063477,-1.1279296875,-16.66080093383789,25.052291870117188,-11.39925479888916,42.4900016784668,-11.609370231628418,27.987586975097656,45.89203643798828,10
oct,-21.409942626953125,-12.90075969696045,-13.488642692565918,35.504234313964844,-13.499613761901855,43.7894172668457,-22.764318466186523,41.97449493408203,55.979087829589844,8
dod,-11.871955871582031,4.398618698120117,-17.8128604888916,22.94523048400879,-7.887082099914551,31.735637664794922,-12.373244285583496,27.55550765991211,42.638057708740234,12
cube,-26.81432342529297,-18.22410011291504,-24.610942840576172,36.44097137451172,-20.145214080810547,13.777145385742188,-29.088531494140625,42.91455078125,53.646522521972656,6
