,abundance_universe,abundance_solar,abundance_meteor,abundance_crust,abundance_ocean,abundance_human,boiling_point,critical_pressure,critical_temperature,density_stp,conductivity_thermal,electron_affinity,electronegativity_pauling,heat_specific,heat_vaporization,heat_fusion,heat_molar,magnetic_susceptibility_mass,magnetic_susceptibility_molar,magnetic_susceptibility_volume,melting_point,molar_volume,neutron_cross_section,neutron_mass_absorption,radius_calculated,radius_empirical,radius_covalent,radius_vanderwaals,refractive_index,speed_of_sound,conductivity_electric,electrical_resistivity,modulus_bulk,modulus_shear,modulus_young,poisson_ratio,coefficient_of_linear_thermal_expansion,hardness_vickers,hardness_brinell,hardness_mohs,superconduction_temperature
91,2e-08,1e-07,9.8e-07,0.00018,3.3e-07,1e-07,4404.0,3.5253327,599.15454,19050.0,27.0,50.94,1.38,116.0,420.0,14.0,27.665,2.16e-08,5.14e-09,0.000411,1405.3,1.25e-05,7.57,0.0005,219.24243,175.0,94.911224,2.41,0.070576936,3155.0,3.6,2.8e-07,100.0,111.0,208.0,0.23,1.39e-05,1960.0,2400.0,6.0,0.69
92,0.0,0.0,0.0,0.0,0.0,0.0,4447.0,2.5762732,435.91672,20450.0,6.0,45.85,1.36,159.9845,335.0,10.0,29.46,9.386248e-08,1.5567498e-08,0.00091232243,912.0,1.16e-05,180.0,1.690527,217.57047,175.0,75.966034,2.39,0.047629863,2588.1248,0.83,1.2e-06,58.13947,57.33333,116.66666,0.23999998,1.3652385e-05,1072.5773,1290.1078,4.772172,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,3505.0,1.9126416,322.6239,19816.0,6.0,-48.33,1.28,181.95872,325.0,9.411888,35.5,3.17e-08,7.74e-09,0.0006282,912.5,1.23e-05,1.7,2.937239,228.47084,175.0,63.26642,2.43,0.028126013,2260.0,0.67,1.5e-06,41.418415,43.0,96.0,0.21,1.6057158e-05,648.5397,804.9642,3.9496734,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,1.4387946,230.90608,13670.0,10.0,9.93,1.13,189.89172,261.41498,9.635665,62.7,5.15e-08,1.25e-08,0.000704,1449.0,1.78e-05,74.0,2.4211907,229.84296,175.0,52.74371,2.44,0.020407412,2412.9165,0.8748939,2.0507252,28.115788,24.759178,56.85692,0.19828317,2.1819094e-05,461.04175,683.79425,3.2870038,0.6
95,0.0,0.0,0.0,0.0,0.0,0.0,3383.0,1.2217387,182.01122,13510.0,10.333332,27.17,1.28,205.71652,284.24506,10.295109,44.793983,4.844886e-06,7.7357186e-07,0.040053416,1613.0,1.83e-05,60.0,3.7263336,230.05869,176.88647,49.558002,2.45,0.014771676,2571.1113,0.85468197,6.152174,34.628952,23.377537,56.570763,0.23484954,1.4400127e-05,567.5857,657.8086,2.8156435,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,2900.0,1.2348309,153.70277,14780.0,10.0,-165.24,1.3,187.25787,286.32016,11.249662,34.651962,8.242863e-06,1.3163917e-06,0.06836322,1259.0,1.67e-05,710.0,1.4578109,227.33339,175.65947,48.68196,2.44,0.017409988,2620.419,0.91915244,16.925114,37.77108,23.37344,57.855385,0.24626549,1.198129e-05,671.7156,648.5063,2.4697263,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,1743.0,1.4912701,160.13638,15100.0,11.991602,-97.31,1.3,174.05716,279.7155,12.653885,30.251915,6.2837044e-06,1.0156037e-06,0.05325786,1173.0,1.66e-05,2900.0,0.63809955,226.94177,175.09195,54.918552,2.45,0.021905303,2670.146,1.0727756,44.623165,39.984303,24.74279,60.995415,0.24394697,1.1243747e-05,584.5612,610.7284,2.3337388,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,1269.0,2.1335726,188.96707,11243.978,14.974808,-28.6,1.3,167.91364,272.8264,15.611994,28.403793,5.1582506e-06,8.4441973e-07,0.044807367,1133.0,1.7953314e-05,160.0,0.25648785,225.49207,174.61642,63.20572,2.45,0.03638475,2680.0205,1.1991746,118.695015,41.18183,25.85493,64.13086,0.23557553,1.1749955e-05,541.9683,683.68427,2.3412752,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,2250.6113,3.057685,248.2085,9836.935,16.932827,33.96,1.3,164.6838,273.7638,17.182098,27.809475,3.7010489e-06,6.126557e-07,0.032879755,1800.0,1.8459945e-05,5800.0,0.11636412,223.5346,173.75734,77.19223,2.45,0.053562187,2609.9175,1.424749,311.46188,43.561214,26.822014,66.397194,0.23277962,1.2806121e-05,560.3441,694.33044,2.541501,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,2341.8345,4.706929,333.39862,9200.828,20.823673,93.91,1.3,158.13782,263.46503,16.03431,26.904636,2.1748967e-06,3.6254758e-07,0.019653104,1100.0,1.9026535e-05,2266.9968,0.05660459,219.11179,171.65565,92.39761,2.46,0.08683972,2319.7349,1.8750727,820.59753,45.501823,26.611115,65.06075,0.22276342,1.4468414e-05,550.06415,585.30896,2.874024,0.0
