,0,1,2,3,4,5,6,7,8,n_nodes
scaled_tetra,-19.43106460571289,-15.243021011352539,63.5670051574707,32.28704833984375,-14.247961044311523,-19.00240707397461,-18.228092193603516,32.391746520996094,21.96787452697754,4
tetra-like,23.871742248535156,42.79119110107422,94.68218231201172,41.5235710144043,-6.4579057693481445,10.644330024719238,-11.002910614013672,30.466861724853516,19.301807403564453,12
rotated_tetra,-19.43106460571289,-15.243021011352539,63.5670051574707,32.28704833984375,-14.247961044311523,-19.00240707397461,-18.228092193603516,32.391746520996094,21.96787452697754,4
cube-like_2,72.91227722167969,66.1419906616211,79.65923309326172,37.294193267822266,1.2871198654174805,13.393661499023438,-5.892620086669922,25.34062385559082,21.66683578491211,16
oct-like,-2.909285068511963,5.952389717102051,90.68294525146484,41.69640350341797,-10.137428283691406,-1.3403615951538086,-12.350564956665039,33.39208221435547,19.112642288208008,8
tetra,-19.43106460571289,-15.243021011352539,63.5670051574707,32.28704833984375,-14.247961044311523,-19.00240707397461,-18.228092193603516,32.391746520996094,21.96787452697754,4
dod-like,37.56302261352539,33.723541259765625,81.07867431640625,37.63365936279297,-6.973987579345703,13.34965991973877,-10.38284969329834,26.534996032714844,20.187389373779297,12
cube-like_1,17.14229965209961,19.760948181152344,88.73726654052734,42.47047424316406,-8.943974494934082,6.341385841369629,-12.278202056884766,28.76023292541504,17.098316192626953,10
oct,1.122344970703125,14.360100746154785,94.18083190917969,43.5792121887207,-8.826921463012695,-3.669632911682129,-11.783784866333008,33.36972427368164,21.15371322631836,8
dod,37.69973373413086,33.58978271484375,81.14179992675781,37.871559143066406,-6.716251373291016,12.507387161254883,-10.197501182556152,26.365568161010742,20.175477981567383,12
cube,-13.063261032104492,-9.215423583984375,86.94229125976562,41.9632568359375,-12.6061372756958,-7.69544792175293,-15.835057258605957,30.844799041748047,18.417692184448242,6
