,0,1,2,3,4,5,6,7,8,n_nodes
scaled_tetra,-21.203262329101562,-18.249711990356445,-18.42141342163086,25.6854248046875,-14.79465103149414,-4.10164737701416,-22.998519897460938,31.26837921142578,33.732627868652344,4
tetra-like,2.9382662773132324,5.563602447509766,-0.9739475250244141,18.241518020629883,-2.2138285636901855,52.88264083862305,-4.339746952056885,19.824989318847656,30.735319137573242,12
rotated_tetra,-21.469806671142578,-18.851211547851562,-20.21691131591797,25.085559844970703,-15.537503242492676,-7.255972862243652,-24.20806312561035,31.465721130371094,33.4282112121582,4
cube-like_2,30.66988182067871,38.30401611328125,6.640982627868652,2.6952733993530273,14.975102424621582,47.425228118896484,24.59383773803711,7.1623640060424805,20.723628997802734,16
oct-like,-10.562980651855469,-10.843985557556152,0.5307140350341797,29.212862014770508,-7.7596659660339355,47.95347213745117,-12.677297592163086,36.603492736816406,46.879615783691406,8
tetra,-21.469806671142578,-18.851211547851562,-20.21691131591797,25.085559844970703,-15.537503242492676,-7.255972862243652,-24.20806312561035,31.465721130371094,33.4282112121582,4
dod-like,1.211620807647705,11.744786262512207,-6.272904872894287,11.8463134765625,-0.604764461517334,27.708560943603516,-0.23345422744750977,16.660818099975586,27.72344398498535,12
cube-like_1,-7.782081604003906,0.48787975311279297,-9.049431800842285,19.862016677856445,-6.041983127593994,33.662879943847656,-8.524616241455078,22.192302703857422,39.21018981933594,10
oct,-13.975920677185059,-11.916196823120117,-4.624528408050537,32.863346099853516,-8.772822380065918,34.367027282714844,-18.00527000427246,44.2877311706543,47.83082580566406,8
dod,-5.730484962463379,7.41970682144165,-10.998372077941895,14.64539909362793,-4.197441577911377,18.902721405029297,-7.568465709686279,19.606990814208984,31.987977981567383,12
cube,-19.935340881347656,-12.684019088745117,-17.987071990966797,25.115962982177734,-13.923733711242676,5.38503360748291,-21.86288070678711,31.685081481933594,40.885921478271484,6
