,0,1,2,3,4,5,6,7,8,n_nodes
tetra-like,92.02769470214844,54.530242919921875,45.5559196472168,47.897430419921875,69.97354888916016,62.71352005004883,245.63792419433594,68.23762512207031,43.750205993652344,12
rotated_tetra,37.06975555419922,-22.57309913635254,-17.74462127685547,20.294048309326172,-35.30551528930664,43.198577880859375,12.358346939086914,40.32292938232422,46.969120025634766,4
oct-like,72.56941223144531,14.462345123291016,14.829031944274902,51.4903450012207,28.720571517944336,66.30729675292969,152.492919921875,51.67058181762695,47.38313293457031,8
tetra,37.091583251953125,-21.590656280517578,-16.829465866088867,40.43617248535156,-34.99556350708008,42.25672149658203,-6.622668266296387,39.1235466003418,26.24720001220703,4
dod-like,109.81150817871094,93.37736511230469,52.56599426269531,60.12323760986328,48.69132995605469,44.488365173339844,249.44607543945312,56.83451843261719,81.72247314453125,12
oct,75.5712890625,34.03242111206055,29.394702911376953,54.373531341552734,59.04671096801758,72.58856964111328,169.88314819335938,60.58527374267578,46.38361740112305,8
cube-like,127.78604125976562,139.92324829101562,92.04885864257812,54.44350051879883,74.45397186279297,41.220848083496094,331.5201416015625,64.26705932617188,82.25040435791016,16
dod,103.90036010742188,80.14013671875,52.167449951171875,56.660369873046875,40.638336181640625,40.130409240722656,244.26156616210938,56.966182708740234,82.8633041381836,12
cube,75.27503967285156,11.867918014526367,3.1219537258148193,52.05572509765625,14.579375267028809,60.81959533691406,66.34105682373047,40.771636962890625,40.52497100830078,6
