,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,n_nodes
scaled_tetra,-9.907576560974121,34.35014343261719,16.10751724243164,23.15812873840332,-4.993093490600586,-8.91619873046875,-7.5929765701293945,-2.153069019317627,24.22344207763672,-10.110862731933594,-6.2827467918396,38.567569732666016,18.431238174438477,26.271791458129883,32.723751068115234,-6.828258514404297,31.860685348510742,19.309886932373047,-5.591236114501953,39.111507415771484,-8.470126152038574,5.828107833862305,-14.714553833007812,19.03400230407715,25.304336547851562,22.851722717285156,15.254350662231445,14.624968528747559,24.972545623779297,4
tetra-like,-0.9766174554824829,7.98534631729126,29.688404083251953,17.080251693725586,5.2775397300720215,12.078686714172363,66.04588317871094,-2.467406749725342,9.667173385620117,61.32246780395508,13.15812873840332,47.19130325317383,13.406991004943848,5.444906711578369,25.744388580322266,0.2106209695339203,46.03504943847656,26.639490127563477,-1.90421462059021,16.207218170166016,13.952305793762207,2.083200693130493,48.01277160644531,25.875112533569336,8.257938385009766,7.124983787536621,10.711261749267578,20.16741180419922,9.381183624267578,12
rotated_tetra,-9.907576560974121,34.35014343261719,16.10751724243164,23.15812873840332,-4.993093490600586,-8.91619873046875,-7.5929765701293945,-2.153069257736206,24.22344207763672,-10.110862731933594,-6.2827467918396,38.567569732666016,18.431238174438477,26.271791458129883,32.723751068115234,-6.828258514404297,31.86068344116211,19.309886932373047,-5.591236114501953,39.111507415771484,-8.470126152038574,5.828107833862305,-14.714553833007812,19.03400421142578,25.304336547851562,22.851722717285156,15.254350662231445,14.624968528747559,24.972545623779297,4
cube-like_2,4.997557163238525,4.4098052978515625,14.945005416870117,18.246559143066406,20.982227325439453,31.939292907714844,78.55406188964844,0.08249540627002716,4.1887736320495605,90.96172332763672,14.900117874145508,37.626434326171875,14.905399322509766,3.3883237838745117,10.327469825744629,3.9667677879333496,8.47562026977539,24.53270721435547,-0.3441919684410095,10.468770980834961,53.47824478149414,5.533567905426025,53.227359771728516,21.03362274169922,4.707136631011963,4.088217735290527,4.107633590698242,23.353586196899414,6.617067813873291,16
oct-like,-5.1489129066467285,11.43349552154541,20.113317489624023,22.012622833251953,-3.1897239685058594,-3.6474759578704834,15.138326644897461,-2.8152551651000977,13.698034286499023,10.313623428344727,1.5395641326904297,55.532386779785156,12.885828971862793,8.243206024169922,45.743003845214844,-3.1496388912200928,40.623268127441406,14.068363189697266,-3.7336549758911133,14.686497688293457,-2.3789470195770264,-1.6255773305892944,5.549372673034668,38.511714935302734,12.60871410369873,8.521506309509277,11.012020111083984,15.70415210723877,12.26541519165039,8
tetra,-9.907576560974121,34.35013961791992,16.10751724243164,23.15812873840332,-4.993093490600586,-8.91619873046875,-7.592976093292236,-2.153069019317627,24.223440170288086,-10.110862731933594,-6.2827467918396,38.567569732666016,18.431238174438477,26.271791458129883,32.723751068115234,-6.8282575607299805,31.86068344116211,19.309886932373047,-5.591235637664795,39.111507415771484,-8.470126152038574,5.828107833862305,-14.714553833007812,19.03400230407715,25.304336547851562,22.851722717285156,15.254350662231445,14.624968528747559,24.972545623779297,4
dod-like,-0.06738758087158203,7.282780647277832,16.479507446289062,16.201988220214844,7.079667568206787,8.608148574829102,40.471248626708984,-1.8657974004745483,7.063285827636719,45.9051513671875,7.884036064147949,33.50254440307617,14.896135330200195,5.749560356140137,15.600727081298828,0.7428823709487915,15.909745216369629,16.222518920898438,-1.72732675075531,13.43086051940918,20.822118759155273,0.5630679726600647,24.944828033447266,27.547698974609375,6.770261764526367,5.959618091583252,7.174556255340576,20.340972900390625,7.475830078125,12
cube-like_1,-2.505535364151001,7.90431022644043,18.895076751708984,18.62738800048828,-1.9541083574295044,0.6826120615005493,32.30528259277344,-2.8295395374298096,10.356297492980957,31.00786781311035,5.616541385650635,46.565277099609375,14.542550086975098,6.976283550262451,33.86365509033203,-1.2095534801483154,30.14083480834961,15.729098320007324,-2.910750389099121,11.013803482055664,7.102503299713135,-1.8794758319854736,19.470001220703125,37.06265640258789,10.90948486328125,6.601151943206787,7.975007057189941,17.27226448059082,7.969213485717773,10
oct,-0.7095530033111572,13.11433219909668,32.09267044067383,21.20354461669922,-1.242988109588623,2.783062219619751,39.913047790527344,0.5835331678390503,19.673770904541016,35.33305740356445,9.496833801269531,65.8471450805664,15.859169006347656,8.14433765411377,36.685604095458984,-0.13048702478408813,52.27527618408203,21.354333877563477,-0.06490512192249298,24.112768173217773,5.689385890960693,4.598020553588867,27.751855850219727,40.36235046386719,18.09451675415039,12.301870346069336,13.264460563659668,15.818172454833984,12.653671264648438,8
dod,0.23705923557281494,7.278287887573242,15.865211486816406,16.571985244750977,7.051262855529785,9.30900764465332,40.142616271972656,-1.711248517036438,7.295483589172363,45.22483444213867,7.884765625,33.94108200073242,13.898599624633789,5.7356038093566895,15.253750801086426,0.8728358149528503,15.158008575439453,16.144489288330078,-1.6038626432418823,13.04542064666748,20.939250946044922,0.8093760013580322,25.278169631958008,26.833507537841797,6.872653007507324,5.760677814483643,7.073673248291016,20.055622100830078,7.477545738220215,12
