,0,1,2,3,4,5,6,7,8,n_nodes
tetra,7.117176055908203,6.106555938720703,6.1479268074035645,5.159765720367432,2.633061170578003,2.969057083129883,2.4771313667297363,3.432140350341797,1.6527020931243896,4
cube,10.20291519165039,33.45042037963867,8.508734703063965,11.523223876953125,4.0625200271606445,4.083329677581787,3.614891290664673,3.641242504119873,3.5453333854675293,10
oct,26.216487884521484,61.28831100463867,25.664142608642578,20.436294555664062,9.54668140411377,10.226959228515625,8.17357063293457,12.47019100189209,6.1036224365234375,6
dod,112.7899398803711,584.9082641601562,126.50904846191406,110.18346405029297,51.58839416503906,40.585304260253906,35.211212158203125,51.951995849609375,29.477380752563477,12
rotated_tetra,7.806513786315918,5.965113162994385,5.9882612228393555,5.034091949462891,2.4159343242645264,2.9852278232574463,2.4471395015716553,3.05712890625,1.4081822633743286,8
dod-like,33.20505905151367,117.40936279296875,28.27765464782715,27.84078598022461,16.99844741821289,7.801714897155762,5.2880635261535645,9.568411827087402,8.106216430664062,16
cube-like,22.86910057067871,85.68556213378906,28.967683792114258,19.292783737182617,8.914445877075195,4.313200950622559,6.5649847984313965,7.9124226570129395,9.104618072509766,28
tetra-like,31.063636779785156,107.80500793457031,30.266929626464844,24.592876434326172,11.428424835205078,7.79345178604126,6.668451309204102,9.54049301147461,5.11561393737793,8
cube-like,43.61997985839844,166.33636474609375,43.40787887573242,36.678646087646484,16.085786819458008,7.948109149932861,8.949140548706055,14.196520805358887,12.312542915344238,4
oct-like,19.004907608032227,54.50590896606445,21.651100158691406,13.40884780883789,6.67936372756958,3.4033937454223633,5.159634590148926,5.209856986999512,5.463842391967773,12
